group,filing_status,journey,n
IDT,Head of Household,G > I > O > L > N > H > E,8
IDT,Head of Household,G > N > G > J > N > I,8
IDT,Head of Household,H > B > I > L > K > K > J > M > I,11
IDT,Head of Household,H > C > H > K,12
IDT,Head of Household,H > E > B > E > I > E > B > A > O > N,6
IDT,Head of Household,H > I > D > E > C > M > B,8
IDT,Head of Household,H > I > E > J > I,14
IDT,Head of Household,H > K > E,9
IDT,Head of Household,H > O > A > B > B,11
IDT,Head of Household,I > B > J > J > G > N > O > G > D > F,2
IDT,Head of Household,I > D > B > B > B > E > F > I,7
IDT,Head of Household,I > D > K > J > C,8
IDT,Head of Household,I > D > M,4
IDT,Head of Household,I > F > D > F > B > B > N > J > A,5
IDT,Head of Household,I > G > H > I > B > E > F > K > A,5
IDT,Head of Household,I > M > I > A > H > D > B,13
IDT,Head of Household,J > C > B > E,14
IDT,Head of Household,J > C > C > C > N > A,11
IDT,Head of Household,J > H > O > L > B > I > L > K,7
IDT,Head of Household,J > I > J > B,13
IDT,Head of Household,J > K > B > H,13
IDT,Head of Household,J > L > A > A > O > O > L,9
IDT,Head of Household,K > B > B > E > M > E > H > B > I > L,9
IDT,Head of Household,K > B > G > M,9
IDT,Head of Household,K > C > D > F > F > L > G > K > A > G,14
IDT,Head of Household,K > D > O,9
IDT,Head of Household,K > E > E > E > N,12
IDT,Head of Household,K > F > F > G > O > A > F > F,11
IDT,Head of Household,K > I > J > O > N > F > K > H > F > H,7
IDT,Head of Household,K > M > D > O > D > K > G > G,13
IDT,Head of Household,K > M > G > N > D > N > N > N,10
IDT,Head of Household,L > B > D > B > N,12
IDT,Head of Household,L > D > D > I > C > C > O > O,8
IDT,Head of Household,L > F > D > B > M > F > K > G > J > E,12
IDT,Head of Household,L > G > N > L > C > A > A > B > H,8
IDT,Head of Household,L > J > N > L,7
IDT,Head of Household,L > L > L > G > E,8
IDT,Head of Household,M > A > O > I > I > N > D,6
IDT,Head of Household,M > H > H > H > O > A > I > L > B > C,6
IDT,Head of Household,M > J > E > N > L > H,5
IDT,Head of Household,M > J > N > M > E > C > B,10
IDT,Head of Household,M > K > D > A > O,8
IDT,Head of Household,M > L > B > C > E > E > L > D > C,12
IDT,Head of Household,N > C > F,10
IDT,Head of Household,N > G > E > E > E > C > I > K,6
IDT,Head of Household,N > G > F,7
IDT,Head of Household,N > K > H > O,2
IDT,Head of Household,N > L > A,9
IDT,Head of Household,N > M > D > J > N > C > L,9
IDT,Head of Household,N > M > K > L > K,8
IDT,Head of Household,N > N > E > O > E > D,10
IDT,Head of Household,N > O > B > D > I > D > A > O > B > A,7
IDT,Head of Household,O > C > M > J > I > I > L > K > B > A,7
IDT,Head of Household,O > G > M > D > O,7
IDT,Head of Household,O > J > A > K > L > H > K,11
IDT,Head of Household,O > K > B > J > M,11
IDT,Head of Household,O > O > M > O,6
IDT,Joint,A > A > E > L > E > C > B > M > C > O,5
IDT,Joint,A > A > J > I > O > G,4
IDT,Joint,A > L > B,14
IDT,Joint,A > L > G > L > J > J > H,4
IDT,Joint,A > M > E > N > L,7
IDT,Joint,A > M > H > I > C > B > N,9
IDT,Joint,B > B > C > C > N > J > F > I,11
IDT,Joint,B > C > D > C,11
IDT,Joint,B > C > O > F > K > A > F,5
IDT,Joint,B > H > L > A > K > K > F,10
IDT,Joint,B > H > M > A > G > O > M > F > C,8
IDT,Joint,B > K > L > K > H,1
IDT,Joint,B > O > F > H > D > A > F,5
IDT,Joint,C > F > L > B > E > A > N > F > J,9
IDT,Joint,C > J > A > E > K > A > J,10
IDT,Joint,C > J > J > A > A > I > K,4
IDT,Joint,C > J > K > M > A > M > A,6
IDT,Joint,C > K > C > M > H,6
IDT,Joint,C > K > D > D > G,2
IDT,Joint,C > L > G > I > D > M > A > H,3
IDT,Joint,C > N > M,5
IDT,Joint,D > A > A > D > K > D,7
IDT,Joint,D > A > H > C > J > G > H > B > J > G,12
IDT,Joint,D > C > I > N > L > O > A,5
IDT,Joint,D > D > K > K > N > B > D,5
IDT,Joint,D > E > B > F > G > C > E,6
IDT,Joint,D > H > C > M > F,5
IDT,Joint,D > I > G > M > O > A > F > B,7
IDT,Joint,D > J > C,3
IDT,Joint,D > L > D > G > L,4
IDT,Joint,D > L > H > F > L > H > A > G > C,10
IDT,Joint,E > A > L,3
IDT,Joint,E > B > N,2
IDT,Joint,E > C > C > E > C > J,4
IDT,Joint,E > E > F > I > C > M > O,2
IDT,Joint,E > E > N,4
IDT,Joint,E > F > K > H > F > I > H > C,3
IDT,Joint,E > J > L > E > G > I > L > F,7
IDT,Joint,E > N > C > O > N > G > O > I > M,10
IDT,Joint,F > C > J > O > D > J > L > L > N > N,4
IDT,Joint,F > F > N > F > K > E > B,4
IDT,Joint,F > K > B > N,4
IDT,Joint,G > D > F > F > N > M,9
IDT,Joint,G > I > O > L > N > H > E,6
IDT,Joint,G > N > G > J > N > I,4
IDT,Joint,H > B > I > L > K > K > J > M > I,3
IDT,Joint,H > C > H > K,4
IDT,Joint,H > E > B > E > I > E > B > A > O > N,6
IDT,Joint,H > I > D > E > C > M > B,10
IDT,Joint,H > I > E > J > I,7
IDT,Joint,H > K > E,15
IDT,Joint,H > O > A > B > B,7
IDT,Joint,I > B > J > J > G > N > O > G > D > F,6
IDT,Joint,I > D > B > B > B > E > F > I,2
IDT,Joint,I > D > K > J > C,4
IDT,Joint,I > D > M,13
IDT,Joint,I > F > D > F > B > B > N > J > A,7
IDT,Joint,I > G > H > I > B > E > F > K > A,5
IDT,Joint,I > M > I > A > H > D > B,8
IDT,Joint,J > C > B > E,6
IDT,Joint,J > C > C > C > N > A,3
IDT,Joint,J > H > O > L > B > I > L > K,7
IDT,Joint,J > I > J > B,6
IDT,Joint,J > K > B > H,3
IDT,Joint,J > L > A > A > O > O > L,7
IDT,Joint,K > B > B > E > M > E > H > B > I > L,11
IDT,Joint,K > B > G > M,5
IDT,Joint,K > C > D > F > F > L > G > K > A > G,7
IDT,Joint,K > D > O,3
IDT,Joint,K > E > E > E > N,10
IDT,Joint,K > F > F > G > O > A > F > F,7
IDT,Joint,K > I > J > O > N > F > K > H > F > H,5
IDT,Joint,K > M > D > O > D > K > G > G,5
IDT,Joint,K > M > G > N > D > N > N > N,6
IDT,Joint,L > B > D > B > N,12
IDT,Joint,L > D > D > I > C > C > O > O,6
IDT,Joint,L > F > D > B > M > F > K > G > J > E,8
IDT,Joint,L > G > N > L > C > A > A > B > H,4
IDT,Joint,L > J > N > L,7
IDT,Joint,L > L > L > G > E,2
IDT,Joint,M > A > O > I > I > N > D,9
IDT,Joint,M > H > H > H > O > A > I > L > B > C,5
IDT,Joint,M > J > E > N > L > H,5
IDT,Joint,M > J > N > M > E > C > B,7
IDT,Joint,M > K > D > A > O,5
IDT,Joint,M > L > B > C > E > E > L > D > C,6
IDT,Joint,N > C > F,6
IDT,Joint,N > G > E > E > E > C > I > K,8
IDT,Joint,N > G > F,12
IDT,Joint,N > K > H > O,9
IDT,Joint,N > L > A,6
IDT,Joint,N > M > D > J > N > C > L,5
IDT,Joint,N > M > K > L > K,7
IDT,Joint,N > N > E > O > E > D,9
IDT,Joint,N > O > B > D > I > D > A > O > B > A,3
IDT,Joint,O > C > M > J > I > I > L > K > B > A,6
IDT,Joint,O > G > M > D > O,4
IDT,Joint,O > J > A > K > L > H > K,7
IDT,Joint,O > K > B > J > M,9
IDT,Joint,O > O > M > O,8
IDT,Married/Separate,A > A > E > L > E > C > B > M > C > O,3
IDT,Married/Separate,A > L > B,2
IDT,Married/Separate,A > L > G > L > J > J > H,2
IDT,Married/Separate,A > M > E > N > L,1
IDT,Married/Separate,A > M > H > I > C > B > N,3
IDT,Married/Separate,B > B > C > C > N > J > F > I,1
IDT,Married/Separate,B > C > D > C,5
IDT,Married/Separate,B > H > L > A > K > K > F,1
IDT,Married/Separate,B > H > M > A > G > O > M > F > C,1
IDT,Married/Separate,B > K > L > K > H,3
IDT,Married/Separate,B > O > F > H > D > A > F,2
IDT,Married/Separate,C > F > L > B > E > A > N > F > J,3
IDT,Married/Separate,C > J > J > A > A > I > K,1
IDT,Married/Separate,C > J > K > M > A > M > A,1
IDT,Married/Separate,C > K > C > M > H,3
IDT,Married/Separate,C > K > D > D > G,3
IDT,Married/Separate,C > L > G > I > D > M > A > H,3
IDT,Married/Separate,C > N > M,1
IDT,Married/Separate,D > A > H > C > J > G > H > B > J > G,3
IDT,Married/Separate,D > D > K > K > N > B > D,4
IDT,Married/Separate,D > E > B > F > G > C > E,1
IDT,Married/Separate,D > H > C > M > F,2
IDT,Married/Separate,D > I > G > M > O > A > F > B,1
IDT,Married/Separate,D > J > C,1
IDT,Married/Separate,D > L > D > G > L,1
IDT,Married/Separate,D > L > H > F > L > H > A > G > C,1
IDT,Married/Separate,E > A > L,1
IDT,Married/Separate,E > B > N,1
IDT,Married/Separate,E > C > C > E > C > J,1
IDT,Married/Separate,E > E > F > I > C > M > O,2
IDT,Married/Separate,E > E > N,1
IDT,Married/Separate,E > F > K > H > F > I > H > C,2
IDT,Married/Separate,E > J > L > E > G > I > L > F,2
IDT,Married/Separate,E > N > C > O > N > G > O > I > M,2
IDT,Married/Separate,F > C > J > O > D > J > L > L > N > N,2
IDT,Married/Separate,F > F > N > F > K > E > B,1
IDT,Married/Separate,G > D > F > F > N > M,4
IDT,Married/Separate,G > I > O > L > N > H > E,3
IDT,Married/Separate,G > N > G > J > N > I,3
IDT,Married/Separate,H > B > I > L > K > K > J > M > I,1
IDT,Married/Separate,H > C > H > K,1
IDT,Married/Separate,H > E > B > E > I > E > B > A > O > N,1
IDT,Married/Separate,H > I > D > E > C > M > B,3
IDT,Married/Separate,H > I > E > J > I,3
IDT,Married/Separate,H > K > E,2
IDT,Married/Separate,H > O > A > B > B,1
IDT,Married/Separate,I > D > K > J > C,1
IDT,Married/Separate,J > C > B > E,2
IDT,Married/Separate,J > I > J > B,1
IDT,Married/Separate,J > K > B > H,1
IDT,Married/Separate,J > L > A > A > O > O > L,1
IDT,Married/Separate,K > B > B > E > M > E > H > B > I > L,3
IDT,Married/Separate,K > B > G > M,1
IDT,Married/Separate,K > D > O,2
IDT,Married/Separate,K > E > E > E > N,1
IDT,Married/Separate,K > F > F > G > O > A > F > F,1
IDT,Married/Separate,K > I > J > O > N > F > K > H > F > H,2
IDT,Married/Separate,K > M > D > O > D > K > G > G,1
IDT,Married/Separate,K > M > G > N > D > N > N > N,2
IDT,Married/Separate,L > D > D > I > C > C > O > O,1
IDT,Married/Separate,L > G > N > L > C > A > A > B > H,1
IDT,Married/Separate,L > J > N > L,4
IDT,Married/Separate,L > L > L > G > E,1
IDT,Married/Separate,M > A > O > I > I > N > D,2
IDT,Married/Separate,M > H > H > H > O > A > I > L > B > C,2
IDT,Married/Separate,M > J > E > N > L > H,3
IDT,Married/Separate,M > K > D > A > O,2
IDT,Married/Separate,M > L > B > C > E > E > L > D > C,1
IDT,Married/Separate,N > C > F,1
IDT,Married/Separate,N > G > E > E > E > C > I > K,2
IDT,Married/Separate,N > G > F,3
IDT,Married/Separate,N > K > H > O,1
IDT,Married/Separate,N > M > K > L > K,1
IDT,Married/Separate,N > N > E > O > E > D,2
IDT,Married/Separate,N > O > B > D > I > D > A > O > B > A,1
IDT,Married/Separate,O > C > M > J > I > I > L > K > B > A,1
IDT,Married/Separate,O > G > M > D > O,4
IDT,Married/Separate,O > J > A > K > L > H > K,1
IDT,Single,A > A > E > L > E > C > B > M > C > O,9
IDT,Single,A > A > J > I > O > G,10
IDT,Single,A > L > B,10
IDT,Single,A > L > G > L > J > J > H,16
IDT,Single,A > M > E > N > L,8
IDT,Single,A > M > H > I > C > B > N,11
IDT,Single,B > B > C > C > N > J > F > I,16
IDT,Single,B > C > D > C,15
IDT,Single,B > C > O > F > K > A > F,16
IDT,Single,B > H > L > A > K > K > F,14
IDT,Single,B > H > M > A > G > O > M > F > C,12
IDT,Single,B > K > L > K > H,12
IDT,Single,B > O > F > H > D > A > F,11
IDT,Single,C > F > L > B > E > A > N > F > J,10
IDT,Single,C > J > A > E > K > A > J,10
IDT,Single,C > J > J > A > A > I > K,15
IDT,Single,C > J > K > M > A > M > A,10
IDT,Single,C > K > C > M > H,11
IDT,Single,C > K > D > D > G,11
IDT,Single,C > L > G > I > D > M > A > H,10
IDT,Single,C > N > M,15
IDT,Single,D > A > A > D > K > D,9
IDT,Single,D > A > H > C > J > G > H > B > J > G,16
IDT,Single,D > C > I > N > L > O > A,12
IDT,Single,D > D > K > K > N > B > D,17
IDT,Single,D > E > B > F > G > C > E,15
IDT,Single,D > H > C > M > F,7
IDT,Single,D > I > G > M > O > A > F > B,9
IDT,Single,D > J > C,7
IDT,Single,D > L > D > G > L,11
IDT,Single,D > L > H > F > L > H > A > G > C,18
IDT,Single,E > A > L,8
IDT,Single,E > B > N,12
IDT,Single,E > C > C > E > C > J,18
IDT,Single,E > E > F > I > C > M > O,13
IDT,Single,E > E > N,8
IDT,Single,E > F > K > H > F > I > H > C,7
IDT,Single,E > J > L > E > G > I > L > F,14
IDT,Single,E > N > C > O > N > G > O > I > M,19
IDT,Single,F > C > J > O > D > J > L > L > N > N,14
IDT,Single,F > F > N > F > K > E > B,12
IDT,Single,F > K > B > N,15
IDT,Single,G > D > F > F > N > M,10
IDT,Single,G > I > O > L > N > H > E,6
IDT,Single,G > N > G > J > N > I,9
IDT,Single,H > B > I > L > K > K > J > M > I,15
IDT,Single,H > C > H > K,8
IDT,Single,H > E > B > E > I > E > B > A > O > N,8
IDT,Single,H > I > D > E > C > M > B,9
IDT,Single,H > I > E > J > I,13
IDT,Single,H > K > E,16
IDT,Single,H > O > A > B > B,18
IDT,Single,I > B > J > J > G > N > O > G > D > F,14
IDT,Single,I > D > B > B > B > E > F > I,14
IDT,Single,I > D > K > J > C,16
IDT,Single,I > D > M,4
IDT,Single,I > F > D > F > B > B > N > J > A,17
IDT,Single,I > G > H > I > B > E > F > K > A,9
IDT,Single,I > M > I > A > H > D > B,11
IDT,Single,J > C > B > E,11
IDT,Single,J > C > C > C > N > A,16
IDT,Single,J > H > O > L > B > I > L > K,8
IDT,Single,J > I > J > B,12
IDT,Single,J > K > B > H,10
IDT,Single,J > L > A > A > O > O > L,13
IDT,Single,K > B > B > E > M > E > H > B > I > L,15
IDT,Single,K > B > G > M,17
IDT,Single,K > C > D > F > F > L > G > K > A > G,11
IDT,Single,K > D > O,8
IDT,Single,K > E > E > E > N,15
IDT,Single,K > F > F > G > O > A > F > F,11
IDT,Single,K > I > J > O > N > F > K > H > F > H,16
IDT,Single,K > M > D > O > D > K > G > G,6
IDT,Single,K > M > G > N > D > N > N > N,7
IDT,Single,L > B > D > B > N,16
IDT,Single,L > D > D > I > C > C > O > O,11
IDT,Single,L > F > D > B > M > F > K > G > J > E,9
IDT,Single,L > G > N > L > C > A > A > B > H,14
IDT,Single,L > J > N > L,8
IDT,Single,L > L > L > G > E,17
IDT,Single,M > A > O > I > I > N > D,14
IDT,Single,M > H > H > H > O > A > I > L > B > C,9
IDT,Single,M > J > E > N > L > H,20
IDT,Single,M > J > N > M > E > C > B,7
IDT,Single,M > K > D > A > O,6
IDT,Single,M > L > B > C > E > E > L > D > C,12
IDT,Single,N > C > F,12
IDT,Single,N > G > E > E > E > C > I > K,10
IDT,Single,N > G > F,16
IDT,Single,N > K > H > O,12
IDT,Single,N > L > A,6
IDT,Single,N > M > D > J > N > C > L,15
IDT,Single,N > M > K > L > K,7
IDT,Single,N > N > E > O > E > D,6
IDT,Single,N > O > B > D > I > D > A > O > B > A,10
IDT,Single,O > C > M > J > I > I > L > K > B > A,16
IDT,Single,O > G > M > D > O,18
IDT,Single,O > J > A > K > L > H > K,8
IDT,Single,O > K > B > J > M,16
IDT,Single,O > O > M > O,13
IDT,Window(ed),A > A > E > L > E > C > B > M > C > O,1
IDT,Window(ed),A > A > J > I > O > G,1
IDT,Window(ed),A > L > B,2
IDT,Window(ed),A > L > G > L > J > J > H,4
IDT,Window(ed),A > M > E > N > L,1
IDT,Window(ed),A > M > H > I > C > B > N,5
IDT,Window(ed),B > B > C > C > N > J > F > I,3
IDT,Window(ed),B > C > D > C,2
IDT,Window(ed),B > H > L > A > K > K > F,1
IDT,Window(ed),B > H > M > A > G > O > M > F > C,2
IDT,Window(ed),B > K > L > K > H,3
IDT,Window(ed),B > O > F > H > D > A > F,2
IDT,Window(ed),C > F > L > B > E > A > N > F > J,2
IDT,Window(ed),C > J > A > E > K > A > J,1
IDT,Window(ed),C > K > D > D > G,1
IDT,Window(ed),C > L > G > I > D > M > A > H,3
IDT,Window(ed),D > A > A > D > K > D,2
IDT,Window(ed),D > A > H > C > J > G > H > B > J > G,1
IDT,Window(ed),D > C > I > N > L > O > A,2
IDT,Window(ed),D > D > K > K > N > B > D,2
IDT,Window(ed),D > E > B > F > G > C > E,4
IDT,Window(ed),D > I > G > M > O > A > F > B,2
IDT,Window(ed),D > J > C,3
IDT,Window(ed),D > L > D > G > L,1
IDT,Window(ed),D > L > H > F > L > H > A > G > C,2
IDT,Window(ed),E > A > L,4
IDT,Window(ed),E > B > N,2
IDT,Window(ed),E > E > F > I > C > M > O,2
IDT,Window(ed),E > E > N,2
IDT,Window(ed),E > F > K > H > F > I > H > C,1
IDT,Window(ed),E > J > L > E > G > I > L > F,1
IDT,Window(ed),E > N > C > O > N > G > O > I > M,1
IDT,Window(ed),F > C > J > O > D > J > L > L > N > N,2
IDT,Window(ed),F > F > N > F > K > E > B,1
IDT,Window(ed),F > K > B > N,1
IDT,Window(ed),G > I > O > L > N > H > E,2
IDT,Window(ed),G > N > G > J > N > I,1
IDT,Window(ed),H > B > I > L > K > K > J > M > I,1
IDT,Window(ed),H > E > B > E > I > E > B > A > O > N,2
IDT,Window(ed),H > K > E,1
IDT,Window(ed),H > O > A > B > B,4
IDT,Window(ed),I > D > B > B > B > E > F > I,2
IDT,Window(ed),I > D > M,2
IDT,Window(ed),I > F > D > F > B > B > N > J > A,3
IDT,Window(ed),I > G > H > I > B > E > F > K > A,2
IDT,Window(ed),I > M > I > A > H > D > B,5
IDT,Window(ed),J > C > B > E,2
IDT,Window(ed),J > C > C > C > N > A,1
IDT,Window(ed),J > H > O > L > B > I > L > K,2
IDT,Window(ed),J > K > B > H,1
IDT,Window(ed),J > L > A > A > O > O > L,3
IDT,Window(ed),K > B > B > E > M > E > H > B > I > L,1
IDT,Window(ed),K > B > G > M,1
IDT,Window(ed),K > C > D > F > F > L > G > K > A > G,1
IDT,Window(ed),K > D > O,2
IDT,Window(ed),K > I > J > O > N > F > K > H > F > H,2
IDT,Window(ed),K > M > D > O > D > K > G > G,2
IDT,Window(ed),K > M > G > N > D > N > N > N,1
IDT,Window(ed),L > B > D > B > N,2
IDT,Window(ed),L > D > D > I > C > C > O > O,1
IDT,Window(ed),L > F > D > B > M > F > K > G > J > E,3
IDT,Window(ed),L > J > N > L,1
IDT,Window(ed),L > L > L > G > E,1
IDT,Window(ed),M > A > O > I > I > N > D,3
IDT,Window(ed),M > H > H > H > O > A > I > L > B > C,4
IDT,Window(ed),M > J > E > N > L > H,1
IDT,Window(ed),M > J > N > M > E > C > B,2
IDT,Window(ed),M > K > D > A > O,1
IDT,Window(ed),N > G > E > E > E > C > I > K,2
IDT,Window(ed),N > G > F,1
IDT,Window(ed),N > K > H > O,1
IDT,Window(ed),N > L > A,1
IDT,Window(ed),N > M > D > J > N > C > L,1
IDT,Window(ed),N > M > K > L > K,2
IDT,Window(ed),N > N > E > O > E > D,1
IDT,Window(ed),N > O > B > D > I > D > A > O > B > A,3
IDT,Window(ed),O > C > M > J > I > I > L > K > B > A,1
IDT,Window(ed),O > J > A > K > L > H > K,2
IDT,Window(ed),O > O > M > O,5
OLS,Head of Household,A > A > E > L > E > C > B > M > C > O,4
OLS,Head of Household,A > A > J > I > O > G,6
OLS,Head of Household,A > L > B,4
OLS,Head of Household,A > L > G > L > J > J > H,7
OLS,Head of Household,A > M > E > N > L,6
OLS,Head of Household,A > M > H > I > C > B > N,7
OLS,Head of Household,B > B > C > C > N > J > F > I,9
OLS,Head of Household,B > C > D > C,4
OLS,Head of Household,B > C > O > F > K > A > F,9
OLS,Head of Household,B > H > L > A > K > K > F,10
OLS,Head of Household,B > H > M > A > G > O > M > F > C,4
OLS,Head of Household,B > K > L > K > H,5
OLS,Head of Household,B > O > F > H > D > A > F,8
OLS,Head of Household,C > F > L > B > E > A > N > F > J,3
OLS,Head of Household,C > J > A > E > K > A > J,6
OLS,Head of Household,C > J > J > A > A > I > K,7
OLS,Head of Household,C > J > K > M > A > M > A,9
OLS,Head of Household,C > K > C > M > H,9
OLS,Head of Household,C > K > D > D > G,5
OLS,Head of Household,C > L > G > I > D > M > A > H,9
OLS,Head of Household,C > N > M,5
OLS,Head of Household,D > A > A > D > K > D,8
OLS,Head of Household,D > A > H > C > J > G > H > B > J > G,7
OLS,Head of Household,D > C > I > N > L > O > A,5
OLS,Head of Household,D > D > K > K > N > B > D,5
OLS,Head of Household,D > E > B > F > G > C > E,8
OLS,Head of Household,D > H > C > M > F,7
OLS,Head of Household,D > I > G > M > O > A > F > B,6
OLS,Head of Household,D > J > C,11
OLS,Head of Household,D > L > D > G > L,5
OLS,Head of Household,D > L > H > F > L > H > A > G > C,5
OLS,Head of Household,E > A > L,7
OLS,Head of Household,E > B > N,7
OLS,Head of Household,E > C > C > E > C > J,6
OLS,Head of Household,E > E > F > I > C > M > O,5
OLS,Head of Household,E > E > N,2
OLS,Head of Household,E > F > K > H > F > I > H > C,4
OLS,Head of Household,E > J > L > E > G > I > L > F,7
OLS,Head of Household,E > N > C > O > N > G > O > I > M,3
OLS,Head of Household,F > C > J > O > D > J > L > L > N > N,5
OLS,Head of Household,F > F > N > F > K > E > B,6
OLS,Head of Household,F > K > B > N,1
OLS,Head of Household,G > D > F > F > N > M,4
OLS,Head of Household,G > I > O > L > N > H > E,4
OLS,Head of Household,G > N > G > J > N > I,4
OLS,Head of Household,H > B > I > L > K > K > J > M > I,3
OLS,Head of Household,H > C > H > K,5
OLS,Head of Household,H > E > B > E > I > E > B > A > O > N,7
OLS,Head of Household,H > I > D > E > C > M > B,3
OLS,Head of Household,H > I > E > J > I,6
OLS,Head of Household,H > K > E,7
OLS,Head of Household,H > O > A > B > B,2
OLS,Head of Household,I > B > J > J > G > N > O > G > D > F,4
OLS,Head of Household,I > D > B > B > B > E > F > I,6
OLS,Head of Household,I > D > K > J > C,5
OLS,Head of Household,I > D > M,4
OLS,Head of Household,I > F > D > F > B > B > N > J > A,4
OLS,Head of Household,I > G > H > I > B > E > F > K > A,8
OLS,Head of Household,I > M > I > A > H > D > B,4
OLS,Head of Household,J > C > B > E,4
OLS,Head of Household,J > C > C > C > N > A,5
OLS,Head of Household,J > H > O > L > B > I > L > K,5
OLS,Head of Household,J > I > J > B,8
OLS,Head of Household,J > K > B > H,4
OLS,Head of Household,J > L > A > A > O > O > L,2
OLS,Head of Household,K > B > B > E > M > E > H > B > I > L,7
OLS,Head of Household,K > B > G > M,10
OLS,Head of Household,K > C > D > F > F > L > G > K > A > G,4
OLS,Head of Household,K > D > O,9
OLS,Head of Household,K > E > E > E > N,8
OLS,Head of Household,K > F > F > G > O > A > F > F,4
OLS,Head of Household,K > I > J > O > N > F > K > H > F > H,4
OLS,Head of Household,K > M > D > O > D > K > G > G,8
OLS,Head of Household,K > M > G > N > D > N > N > N,5
OLS,Head of Household,L > B > D > B > N,6
OLS,Head of Household,L > D > D > I > C > C > O > O,3
OLS,Head of Household,L > F > D > B > M > F > K > G > J > E,12
OLS,Head of Household,L > G > N > L > C > A > A > B > H,5
OLS,Head of Household,L > J > N > L,5
OLS,Head of Household,L > L > L > G > E,8
OLS,Head of Household,M > A > O > I > I > N > D,4
OLS,Head of Household,M > H > H > H > O > A > I > L > B > C,6
OLS,Head of Household,M > J > E > N > L > H,5
OLS,Head of Household,M > J > N > M > E > C > B,6
OLS,Head of Household,M > K > D > A > O,6
OLS,Head of Household,M > L > B > C > E > E > L > D > C,2
OLS,Head of Household,N > C > F,2
OLS,Head of Household,N > G > E > E > E > C > I > K,9
OLS,Head of Household,N > G > F,7
OLS,Head of Household,N > K > H > O,7
OLS,Head of Household,N > L > A,3
OLS,Head of Household,N > M > D > J > N > C > L,10
OLS,Head of Household,N > M > K > L > K,7
OLS,Head of Household,N > N > E > O > E > D,5
OLS,Head of Household,N > O > B > D > I > D > A > O > B > A,10
OLS,Head of Household,O > C > M > J > I > I > L > K > B > A,7
OLS,Head of Household,O > G > M > D > O,6
OLS,Head of Household,O > J > A > K > L > H > K,4
OLS,Head of Household,O > K > B > J > M,8
OLS,Head of Household,O > O > M > O,7
OLS,Joint,A > A > E > L > E > C > B > M > C > O,6
OLS,Joint,A > A > J > I > O > G,4
OLS,Joint,A > L > B,2
OLS,Joint,A > L > G > L > J > J > H,4
OLS,Joint,A > M > E > N > L,3
OLS,Joint,A > M > H > I > C > B > N,5
OLS,Joint,B > B > C > C > N > J > F > I,6
OLS,Joint,B > C > D > C,6
OLS,Joint,B > C > O > F > K > A > F,5
OLS,Joint,B > H > L > A > K > K > F,9
OLS,Joint,B > H > M > A > G > O > M > F > C,2
OLS,Joint,B > K > L > K > H,3
OLS,Joint,B > O > F > H > D > A > F,3
OLS,Joint,C > F > L > B > E > A > N > F > J,3
OLS,Joint,C > J > A > E > K > A > J,6
OLS,Joint,C > J > J > A > A > I > K,5
OLS,Joint,C > J > K > M > A > M > A,2
OLS,Joint,C > K > C > M > H,6
OLS,Joint,C > K > D > D > G,5
OLS,Joint,C > L > G > I > D > M > A > H,3
